year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1997,1997-10-28,10.0,Hawaii,HI,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Body boarding or surfing,True,19.0,M,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",N,Unprovoked
1997,1997-12-25,12.0,Florida,FL,"Fort Lauderdale, Broward County",,False,29.0,F,"Ankle bitten, but shark involvement unconfirmed",N,Invalid
1997,1997-12-25,12.0,Florida,FL,"Hollywood Beach, Broward County",Swimming,False,8.0,M,Left leg gashed knee to ankle,N,Unprovoked
1998,1998-02-23,2.0,Florida,FL,"Jensen Beach, Martin County",Swimming,False,,M,Hands bitten,N,Unprovoked
1998,1998-03-08,3.0,Florida,FL,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming or paddle boarding,False,32.0,M,6 puncture wounds to right calf,N,Unprovoked
1998,1998-03-31,3.0,Florida,FL,"Jensen Beach Park, Martin County",Swimming,False,40.0,M,Heel lacerated,N,Unprovoked
1998,1998-04-17,4.0,Florida,FL,"Marathon, Monroe County",Scuba diving,False,16.0,M,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",N,Provoked
1998,1998-04-21,4.0,Oregon,OR,Gleneden Beach,Surfing (lying prone on his board),True,50.0,M,Right thigh bitten,N,Unprovoked
1998,1998-05-16,5.0,Florida,FL,"Walden Rocks, St. Lucie County",Swimming / surfing,True,24.0,M,Left arm & wrist lacerated,N,Unprovoked
1998,1998-05-16,5.0,Florida,FL,"Pecks Lake, Martin County",Swimming,False,14.0,F,Ankle & foot bitten,N,Unprovoked
1998,1998-05-25,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,40.0,M,4 lacerations on the sole of his right foot,N,Unprovoked
1998,1998-06-08,6.0,Florida,FL,"Daytona Beach, Volusia County",Surfing,True,18.0,M,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",N,Unprovoked
1998,1998-07-25,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,13.0,M,Calf bitten,N,Unprovoked
1998,1998-08-13,8.0,Florida,FL,"Ponce Inlet, Volusia County",Body-boarding,False,11.0,M,Left calf injured,N,Unprovoked
1998,1998-08-26,8.0,California,CA,"Stinson Beach, Marin County",Boogie boarding,True,16.0,M,"Thigh, buttocks & lower back lacerated",N,Unprovoked
1998,1998-08-30,8.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,26.0,M,Toes lacerated,N,Unprovoked
1998,1998-09-14,9.0,Florida,FL,"Stuart Beach, Martin County",Surfing,True,28.0,M,Right foot bitten,N,Unprovoked
1998,1998-09-22,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Left arm lacerated,N,Unprovoked
1998,1998-09-27,9.0,Florida,FL,"The Rocks, Hutchinson Island, Martin County",Surfing,True,6.0,M,Puncture wounds to leg,N,Unprovoked
1998,1998-10-01,10.0,Florida,FL,"New Smyrna Beach, Volusia County",,False,28.0,M,2 one-inch lacerations in left foot,N,Unprovoked
1998,1998-10-10,10.0,Florida,FL,"Sebastian Inlet, Indian River County",Surfing,True,,M,Right hand bitten,N,Unprovoked
1998,1998-10-24,10.0,Florida,FL,"Jupiter Beach, Palm Beach County",Swimming,False,17.0,F,Minor lacerations on right ankle & foot,N,Unprovoked
1998,1998-11-05,11.0,Oregon,OR,Winchester Bay,Surfing,True,32.0,M,No injury,N,Unprovoked
1998,1998-11-11,11.0,Florida,FL,"South Beach Park, Indian River County",Walking,False,13.0,M,Survived,N,Unprovoked
1998,1998-11-14,11.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,14.0,M,Right foot bitten,N,Unprovoked
1998,1998-11-21,11.0,Florida,FL,"Ocean Beach, Jaycee Park, Vero Beach, Indian River County",Swimming,False,9.0,M,FATAL,Y,Unprovoked
1998,1998-12-24,12.0,Florida,FL,"Ormond Beach, Volusia County",Surfing,True,19.0,M,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,N,Provoked
1999,1999-02-03,2.0,Florida,FL,"Hobe Sound, Martin County",Surfing,True,25.0,M,Left hand bitten,N,Unprovoked
1999,1999-02-26,2.0,North Carolina,NC,Frying Pan Shoals,Cruising,False,,,"No injury to occupants, boat sank after colliding with shark",N,Boat
1999,1999-03-05,3.0,Hawaii,HI,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,False,29.0,F,Tissue removed knee to thigh,N,Unprovoked
1999,1999-03-08,3.0,Hawaii,HI,"Kealia Beach, Kaua'i",Body surfing or body boarding,True,18.0,M,Bruised right leg,N,Unprovoked
1999,1999-03-18,3.0,Hawaii,HI,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",False,29.0,F,"FATAL, arm bitten ",Y,Unprovoked
1999,1999-04-01,4.0,Florida,FL,"Hobe Sound Beach, Palm Beach County",Surfing,True,14.0,M,Ankle bitten,N,Unprovoked
1999,1999-06-09,6.0,Florida,FL,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,False,5.0,M,Knee lacerated,N,Unprovoked
1999,1999-06-12,6.0,Florida,FL,"Atlantiic Beach, Duval County",Swimming,False,41.0,M,8-inch bite on calf,N,Unprovoked
1999,1999-06-17,6.0,Florida,FL,"South of Ponce Inlet, Volusia County",Surfing,True,21.0,M,Right hand and wrist lacerated,N,Unprovoked
1999,1999-06-19,6.0,Florida,FL,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,False,20.0,M,9-inch gash in left foot ,N,Unprovoked
1999,1999-07-04,7.0,Florida,FL,"Pensacola  Beach, Escambia County",Wading in school of baitfish,False,30.0,F,Lacerations knee to ankle,N,Unprovoked
1999,1999-07-06,7.0,South Carolina,SC,Charleston,,False,,M,Five cuts on his heel,N,Unprovoked
1999,1999-07-21,7.0,Hawaii,HI,Honoli'i in Hilo (west side of Big Island),Surfing,True,43.0,M,Right thigh & buttock bitten,N,Unprovoked
1999,1999-07-26,7.0,Florida,FL,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,False,43.0,M,Ankle bitten,N,Unprovoked
1999,1999-08-05,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Body surfing,True,62.0,M,Right ankle & heel  lacerated,N,Unprovoked
1999,1999-08-16,8.0,South Carolina,SC,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,False,10.0,M,"Ear lacerated, cuts on scalp, back, arm & shoulder ",N,Unprovoked
1999,1999-08-21,8.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,17.0,M,Small lacerations to right foot,N,Unprovoked
1999,1999-08-24,8.0,North Carolina,NC,"Fort Fisher, New Hanover County",Surfing,True,,M,Foot injured,N,Unprovoked
1999,1999-08-26,8.0,Florida,FL,"Bethune Beach, south of New Smyrna Beach, Volusia County",Surfing,True,28.0,M,3-inch laceration to right foot,N,Unprovoked
1999,1999-09-04,9.0,Florida,FL,"Ponce Inlet, Volusia County",Wading with surfboard,True,39.0,M,Right foot bitten,N,Unprovoked
1999,1999-09-04,9.0,Florida,FL,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,False,7.0,M,Left knee nipped by captive shark PROVOKED INCIDENT,N,Provoked
1999,1999-09-05,9.0,Florida,FL,"Fort Pierce Inlet, St. Lucie County",Surfing,True,13.0,M,Right foot bitten,N,Unprovoked
1999,1999-09-10,9.0,South Carolina,SC,"Isle of Palms, Charleston County",Wading,False,10.0,F,Toes lacerated,N,Unprovoked
1999,1999-09-29,9.0,Florida,FL,"South side of Ponce de Leon Inlet, Volusia County",Wading to shore after surfing,True,22.0,M,3 one-inch lacerations to sole of right foot,N,Unprovoked
1999,1999-10-01,10.0,Hawaii,HI,Old Kona Airport State Park,"Surfing, lying on surfboard",True,16.0,M,Right arm bitten,N,Unprovoked
1999,1999-10-20,10.0,Florida,FL,"Pet Den, Satellite Beach, Brevard County",Surfing,True,,M,Lacerations to right hand & wrist,N,Unprovoked
1999,1999-10-30,10.0,Florida,FL,"Daytona Beach, Volusia County",Body boarding,True,45.0,M,Right foot lacerated,N,Unprovoked
1999,1999-10-30,10.0,Florida,FL,"Gulfstream Park beach, Palm Beach County",Body surfing,True,13.0,M,"Shark bit 8"" chunk from swim fin",N,Unprovoked
1999,1999-11-15,11.0,California,CA,"Waddell Reef, Santa Cruz County",Surfing (sitting on his board),True,,M,"No injury, board bitten",N,Unprovoked
1999,1999-11-23,11.0,Hawaii,HI,"Big Island off Kona Village Resort, North Kona",Swimming,False,51.0,F,"Buttock bitten, hands lacerated",N,Unprovoked
1999,1999-11-30,11.0,Florida,FL,"Palm Beach, Palm Beach County",Surfing,True,19.0,M,Lacerations to hand & wrist,N,Unprovoked
1999,1999-12-02,12.0,Florida,FL,"Boynton Beach, Palm Beach County",Surfing,True,35.0,M,Right arm & fingers lacerated,N,Unprovoked
1999,1999-12-14,12.0,California,CA,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba diving,False,,M,"Presumed taken by a shark,  but forensic evidence suggested otherwise.",Y,Invalid
2000,2000-02-21,2.0,Florida,FL,"Riviera Beach, Palm Beach County",,False,27.0,M,Right calf bitten,N,Unprovoked
2000,2000-03-24,3.0,Florida,FL,"Floridana Beach, Brevard County",Surfing,True,37.0,M,Left hand bitten,N,Unprovoked
2000,2000-03-26,3.0,Florida,FL,"Juno Beach, Palm Beach County",Boogie boarding,True,14.0,F,Right knee lacerated,N,Unprovoked
2000,2000-03-31,3.0,Florida,FL,Santa Rosa Sound Escambia County,Fishing,False,,M,"No Injury, bumped by shark",N,Unprovoked
2000,2000-04-09,4.0,Florida,FL,"Municipal Beach, Riviera Beach, Palm Beach County",Boogie boarding / wading,True,,M,Puncture marks on right thigh,N,Unprovoked
2000,2000-04-14,4.0,Florida,FL,"On the south side of Ponce Inlet, Volusia County",Walking,False,34.0,M,Left foot lacerated,N,Unprovoked
2000,2000-06-02,6.0,Florida,FL,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,False,13.0,M,Right forearm lacerated,N,Unprovoked
2000,2000-06-09,6.0,Alabama,AL,"Gulf Shores, Baldwin County",Swimming,False,44.0,M,Right forearm severed surgically amputated above elbow,N,Unprovoked
2000,2000-06-09,6.0,Alabama,AL,"Gulf Shores, Baldwin County",Swimming,False,55.0,M,Puncture wounds on right hip and arm,N,Unprovoked
2000,2000-06-10,6.0,Texas,TX,"J.P. Luby Surf Park, Corpus Christi",Surfing,True,17.0,M,Foot lacerated,N,Unprovoked
2000,2000-06-13,6.0,Florida,FL,"Pensacola Bay, Escambia County",Sailing,False,,,"No injury to occupants, boat's rear platform bitten",N,Boat
2000,2000-06-19,6.0,Florida,FL,"Seminole Avenue, Ormond Beach, Volusia County",Standing,False,52.0,M,Right ankle lacerated,N,Unprovoked
2000,2000-07-02,7.0,Florida,FL,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,False,19.0,F,Left thigh lacerated,N,Unprovoked
2000,2000-07-02,7.0,Florida,FL,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,False,13.0,F,Left calf & hand lacerated,N,Unprovoked
2000,2000-07-04,7.0,Florida,FL,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",False,55.0,F,Lower right calf lacerated,N,Unprovoked
2000,2000-07-04,7.0,Florida,FL,"Daytona Beach, Volusia County",Wading,False,20.0,F,Left inner thigh,N,Unprovoked
2000,2000-07-06,7.0,North Carolina,NC,"Pine Island, Corolla, Currituck County",Playing,False,12.0,F,Calf lacerated,N,Unprovoked
2000,2000-07-07,7.0,Texas,TX,"Mustang Island, Corpus Christi",Jumping,False,5.0,M,Ankle & foot lacerated,N,Unprovoked
2000,2000-07-09,7.0,Florida,FL,"Neptune Avenue, Ormond Beach, Volusia County",Swimming,False,41.0,M,Knee & calf lacerated,N,Unprovoked
2000,2000-07-10,7.0,Florida,FL,"Daytona  Beach, Volusia County",Wading,False,13.0,M,Minor laceration & 3 punctures to right foot,N,Unprovoked
2000,2000-07-16,7.0,North Carolina,NC,"Holden Beach, Brunswick County",Surfing,True,14.0,M,Minor lacerations on foot,N,Unprovoked
2000,2000-07-17,7.0,North Carolina,NC,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,True,16.0,M,Foot lacerated,N,Unprovoked
2000,2000-07-22,7.0,Florida,FL,"Big Pine Key, Monroe County ",Snorkeling,False,45.0,F,Leg pinched,N,Unprovoked
2000,2000-07-25,7.0,Florida,FL,"New Smyrna Beach, Volusia County",,False,5.0,M,Minor laceration on left leg,N,Unprovoked
2000,2000-08-10,8.0,Florida,FL,Florida Keys,Attempting to illegally enter the USA,False,23.0,M,Shark involvement probably post-mortem,Y,Invalid
2000,2000-08-11,8.0,North Carolina,NC,"Emerald Isle, Carteret County",Swimming,False,,M,Non-fatal,N,Invalid
2000,2000-08-12,8.0,Florida,FL,"St. Augustine, St. Johns County",Standing,False,44.0,F,Severely bitten on lower leg ,N,Unprovoked
2000,2000-08-13,8.0,Florida,FL,"South Jacksonville Beach, Duval County",Surfing / Wading,True,27.0,M,Minor lacerations to the dorsum of the right foot,N,Unprovoked
2000,2000-08-15,8.0,Hawaii,HI,"Kanaha Beach, Maui","Windsurfing, but sitting on his board",True,53.0,M,Left calf lacerated,N,Unprovoked
2000,2000-08-21,8.0,North Carolina,NC,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises,False,,M,"Severe gash to left hand above wrist, almost severing hand",N,Unprovoked
2000,2000-08-30,8.0,Florida,FL,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,False,69.0,M,FATAL,Y,Unprovoked
2000,2000-08-31,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Swimming,False,47.0,M,Punctures & lacerations on right foot,N,Unprovoked
2000,2000-09-08,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,40.0,M,Left foot lacerated ,N,Unprovoked
2000,2000-09-10,9.0,Florida,FL,"Vero Beach, Indian River County",Swimming,False,8.0,M,Minor injury to arm and hand,N,Unprovoked
2000,2000-09-11,9.0,Florida,FL,"Daytona Beach Shores, Volusia County",Swimming / Body surfing,True,25.0,M,Finger lacerated,N,Unprovoked
2000,2000-09-12,9.0,Florida,FL,"Sebastian Inlet, Indian River or Brevard County",Surfing,True,26.0,F,Puncture wounds on knee,N,Unprovoked
2000,2000-09-15,9.0,Florida,FL,"Fort Pierce Inlet, St Lucie County",Standing / surfing,True,49.0,M,Right lower leg & ankle lacerated,N,Unprovoked
2000,2000-09-16,9.0,South Carolina,SC,"Isle of Palms, Charleston County",,False,,,Non-fatal,N,Unprovoked
2000,2000-09-29,9.0,California,CA,"Mavericks, Half Moon Bay, San Mateo County",Sitting on surfboard,True,,M,No injury,N,Unprovoked
2000,2000-10-02,10.0,North Carolina,NC,"Wrightsville Beach, New Hanover County",Surfing,True,24.0,M,Upper left arm lacerated,N,Unprovoked
2000,2000-10-06,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Body surfing,True,11.0,M,Right foot & heel lacerated,N,Unprovoked
2000,2000-10-06,10.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,23.0,M,Fingers lacerated,N,Unprovoked
2000,2000-10-09,10.0,Florida,FL,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,True,17.0,M,Foot lacerated,N,Unprovoked
2000,2000-10-14,10.0,Florida,FL,"South Beach, Sebastian, Indian River County",Swimming,False,69.0,M,Right hand lacerated,N,Unprovoked
2000,2000-10-18,10.0,Hawaii,HI,Olowalu,Swimming / snorkeling,False,56.0,F,Right side of back / torso lacerated,N,Unprovoked
2000,2000-10-20,10.0,Florida,FL,"Fort Pierce Inlet State Park, St Lucie County",Surfing,True,23.0,M,Leg lacerated,N,Unprovoked
2000,2000-11-04,11.0,California,CA,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,True,27.0,M,Both thighs bitten,N,Unprovoked
2000,2000-11-10,11.0,Florida,FL,"Vaughn Beach, Flagler County",Walking,False,27.0,F,No injury,N,Invalid
2000,2000-11-17,11.0,Florida,FL,"Bonita Springs, Lee County",Swimming,False,73.0,M,Right calf lacerated,N,Unprovoked
2001,2001-01-09,1.0,California,CA,"Sunset Cliffs, San Diego",Surfing,True,,M,"Foot bruised, board dinged",N,Unprovoked
2001,2001-03-09,3.0,Florida,FL,"Coral Cove Park, Jupiter Island, Martin County",Surfing,True,,M,Fingers & hand lacerated,N,Unprovoked
2001,2001-03-23,3.0,Hawaii,HI,"Sandy Beach, Oahu",Body-boarding,False,,M,"Minor cuts on left hand, body board bitten",N,Unprovoked
2001,2001-04-05,4.0,Florida,FL,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing alongside surfboard,True,26.0,M,Minor lacerations to dorsum of left foot,N,Unprovoked
2001,2001-04-10,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,16.0,,Foot lacerated,N,Unprovoked
2001,2001-04-11,4.0,Hawaii,HI,"Ewa Beach, O'ahu",Surfing,True,,M,Minor punctures & lacerations on left hand ,N,Unprovoked
2001,2001-04-11,4.0,Florida,FL,"New Smyrna Beach / Waveland, Volusia County",Surfing,True,22.0,M,Lacerations to top & bottom of left foot,N,Unprovoked
2001,2001-04-11,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,19.0,M,Minor cuts on right heel & foot,N,Unprovoked
2001,2001-04-12,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,38.0,M,Foot & ankle lacerated,N,Unprovoked
2001,2001-04-12,4.0,Florida,FL,"Waveland Beach, Hutchinson Island, St Lucie County",,False,30.0,M,Right ankle & lower leg lacerated,N,Unprovoked
2001,2001-04-12,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Body boarding,True,12.0,M,Foot & ankle lacerated,N,Unprovoked
2001,2001-04-12,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,21.0,M,Small cuts on big & pinky toes of left foot,N,Unprovoked
2001,2001-04-12,4.0,Florida,FL,"New Smyrna Beach / Waveland, Volusia County",Surfing,True,22.0,M,Foot lacerated,N,Unprovoked
2001,2001-04-13,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,12.0,M,Right foot & ankle lacerated,N,Unprovoked
2001,2001-04-13,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,16.0,M,Foot & ankle lacerated,N,Unprovoked
2001,2001-04-28,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie boarding,True,14.0,M,4 small lacerations on lower right leg,N,Unprovoked
2001,2001-05-03,5.0,Florida,FL,"Jacksonville, Duval County",Surfing,True,45.0,M,Foot lacerated ,N,Unprovoked
2001,2001-05-20,5.0,South Carolina,SC,"Fripp Island, Beaufort County",Swimming,False,,M,5.5-inch laceration on calf,N,Unprovoked
2001,2001-05-23,5.0,South Carolina,SC,"Coligny Beach, Hilton Head, Beaufort County",Swimming,False,11.0,M,Shin lacerated,N,Unprovoked
2001,2001-05-29,5.0,Texas,TX,Galveston Island,,False,16.0,M,Survived,N,Unprovoked
2001,2001-06-03,6.0,South Carolina,SC,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,False,29.0,F,3 puncture wounds on each side of her left  hand,N,Unprovoked
2001,2001-06-10,6.0,California,CA,Catalina Island,Spearfishing,False,52.0,M,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",N,Provoked
2001,2001-06-12,6.0,Texas,TX,Padre Island National Seashore,Swimming,False,14.0,M,Leg lacerated,N,Unprovoked
2001,2001-07-03,7.0,South Carolina,SC,"Isle of Palms, Charleston County ",,False,,,Hand bitten,N,Unprovoked
2001,2001-07-06,7.0,Florida,FL,Gulf Islands National Seashore,Swimming,False,8.0,M,"Arm severed, surgically reattached",N,Unprovoked
2001,2001-07-15,7.0,Florida,FL,"Amelia Island, Nassau County",Boogie boarding,True,18.0,M,Foot lacerated,N,Unprovoked
2001,2001-07-15,7.0,Florida,FL,"Santa Rosa Island, Escambia County",Surfing,True,48.0,M,Left foot & heel lacerated,N,Unprovoked
2001,2001-07-21,7.0,Massachusetts,MA,Chatham Island,Fishing,False,,,No Injury to occupants; shark bumped the boat ,N,Boat
2001,2001-07-24,7.0,Florida,FL,"Marathon , Monroe County",,False,,F,2 bites behind knee,N,Unprovoked
2001,2001-07-25,7.0,Florida,FL,"Taverniier, Monroe County",,False,,M,Minor injury,N,Unprovoked
2001,2001-07-26,7.0,South Carolina,SC,"Myrtle Beach, Horry County",,False,,F,Survived,N,Unprovoked
2001,2001-08-05,8.0,South Carolina,SC,"Near 70th Avenue, Myrtle Beach, Horry County",,False,,F,Toe bitten,N,Unprovoked
2001,2001-08-18,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,19.0,M,Left ankle bitten,N,Unprovoked
2001,2001-08-18,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,19.0,M,Back of left hand gashed,N,Unprovoked
2001,2001-08-18,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,20.0,M,Cuts on right foot,N,Unprovoked
2001,2001-08-19,8.0,Florida,FL,"Wilbur-by-the-Sea, Volusia County",Surfing,True,17.0,F,Left foot lacerated,N,Unprovoked
2001,2001-08-19,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,F,Lacerations to lower leg,N,Unprovoked
2001,2001-08-19,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,32.0,M,Cuts on right foot,N,Unprovoked
2001,2001-08-21,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,27.0,M,Thigh lacerated,N,Unprovoked
2001,2001-08-22,8.0,Florida,FL,"Daytona, Volusia County ",Surfing,True,17.0,M,Foot lacerated,N,Unprovoked
2001,2001-08-25,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie Boarding,True,18.0,M,Upper left thigh & right foot bitten,N,Unprovoked
2001,2001-08-26,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Boogie Boarding,True,18.0,M,Thigh & foot bitten,N,Unprovoked
2001,2001-08-27,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,69.0,M,Heel lacerated,N,Unprovoked
2001,2001-08-29,8.0,Florida,FL,"Coquina Beach, Anna Maria Island, Manatee County",Standing,False,29.0,F,Punctures & lacerations on elbow & forearm,N,Unprovoked
2001,2001-09-01,9.0,Virginia,VA,"Sandbridge Beach, Princess Anne County",Swimming,False,10.0,M,"FATAL, thigh bitten ",Y,Unprovoked
