year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1996,1996-10-03,10.0,California,CA,"North Salmon Creek Beach, Sonoma County",Surfing,True,31.0,M,"No Injury, shark struck his board",N,Unprovoked
1996,1996-10-03,10.0,Florida,FL,"Cocoa Beach, Brevard County",Surfing,True,21.0,M,"4"" laceration on left forearm",N,Unprovoked
1996,1996-10-05,10.0,California,CA,"Dillon Beach, Marin County",Surfing,True,22.0,M,Lower leg bitten,N,Unprovoked
1996,1996-11-18,11.0,Florida,FL,"Coral Cove Park, Palm Beach County",Surfing,True,26.0,M,Right foot bitten,N,Unprovoked
1996,1996-11-29,11.0,California,CA,"Salmon Creek Beach, Sonoma County",Surfing,True,45.0,M,Single laceration on ankle & board bitten,N,Unprovoked
1997,1997-02-21,2.0,Hawaii,HI,"Sunset Beach, O'ahu",,False,,M,No details,,Unprovoked
1997,1997-05-31,5.0,Florida,FL,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,False,35.0,M,Right thigh punctured,N,Unprovoked
1997,1997-05-31,5.0,Florida,FL,"Flagler Beach, Flagler County",Surfing,True,12.0,M,Left ankle bitten,N,Unprovoked
1997,1997-05-31,5.0,Florida,FL,"Flagler Beach, Flagler County",Surfing,True,34.0,M,Left elbow bitten,N,Unprovoked
1997,1997-06-02,6.0,Florida,FL,"Daytona Beach Shores,  Volusia County","Body surfing, stood up on sandbar",True,33.0,M,4 lacerations above left ankle,N,Unprovoked
1997,1997-06-09,6.0,Florida,FL, Palm Beach County,Surfing,True,18.0,M,Laceration to left upper arm,N,Unprovoked
1997,1997-06-24,6.0,Hawaii,HI,"Sunset Beach, Oahu",Spearfishing / night diving,False,,M,Leg bitten just above ankle,N,Unprovoked
1997,1997-07-14,7.0,South Carolina,SC,"Myrtle Beach, Horry County",Standing,False,50.0,M,Left calf bitten,N,Unprovoked
1997,1997-08-02,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading / Surfing,True,19.0,M,Top of left foot bitten,N,Unprovoked
